Abbess Horror 
Adele Hawthorne 
Adelicia von Krupp 
Adriana Soria 
Adriana Princess
Adrienne Frost 
Agatha Timly 
Agent Anesthesia 
Aghanne Buffalo
Aguja Buffalo
Akira Kiamata 
Alaisa Ruatha Pethnan 
Alchemist Student
Aldebron James
Aleksandra Nikolaevna 
Alflyse Freshman
Alice Hayes 
Alice Nugent 
Alice Tremaine 
Alizon Baunacha 
Alkhema Salad
Allatou Buffalo
Alma Chalmers 
Amanda Mueller 
Amber Alexis 
Amie Zamborano 
Amity Hunter 
Anastasia Kravinoff 
Anastasia Summit 
Andrea Haggard 
Andrea Janson 
Andrea Roarke 
Andrea von Strucker 
Angela Bradford 
Angela Golden 
Angelina Brancale 
Angeline Kutter 
Ann Fraley 
Anna Frankenstein 
Anne Mutant 
Anne Marie Cortez 
Anzhela Federova 
Aranda Charboneau 
Araoha Tepania 
Ariana Saddiqi 
Arianna Jankos 
Asahiri Aoki 
Astrid Bloom 
Astrid Mordo 
Augusta Seger 
Aunt Serr 
Axis Annie 
Ayla Ranefer 
Baba Yaga 
Barbara Gruber 
Baylee Ann 
Beatrix Keener 
Belinda Mathius 
Belle Raven 
Benazir Kaur 
Betty Sumitro 
Betty Swanson 
Beverly Cross 
Bianca LaNeige 
Big Mother 
Black Knight
Black Lotus 
Black Mariah 
Blanche Sitznski 
Bloody Bess 
Bloody Mary 
Blow Dryer 
Bombardier 
Boudica Gorman 
Bouncing Betty 
Bridget Malone 
Brigitte Lahti 
Bronwen Gryffn 
Cal'syee Neramani 
Calypso Ezili 
Carmella Unuscione 
Carol Hines 
Carolina Washington 
Caroline le Fay 
Carolyn Trainer 
Cassandra Nova Xavier 
Cassandra Pike 
Cassandra Romulus 
Cat Woman 
Cat's Paw 
Catastrophe Jen 
Catherine D'Antan 
Catherine Saint 
Catherine Wilder 
Cathode 
Celestia Denton 
Chancellor Cassandra 
Charlotte Witter 
Cheer Chadwick 
Chiquita Tarantula 
Christina Carr 
Cinder Fontatine 
Claudine Renko 
Clemence Duval 
Coral Ravens
Countess Kyra 
Countess Mara 
Crimson Commando
Cristal Lemieux 
Criti Noll 
Cylla Markham 
Cyndi Legion
Dagny Forrester 
Daisy Villain 
Dame Kackle 
Dancing Water 
Danielle Belmonde 
Danielle Blunt 
Danielle Forte 
Danielle Nicolle 
Elena King 
Elena von Lundt 
Eleven Rupinski
Elianne Turac 
Elinor von Drei 
Elisbeth von Strucker 
Elise Winters 
Elizabeth Bliss 
Elizabeth Braddock
Elizabeth Lockhart 
Elizabeth Rawson 
Elsie Carson 
Elspeth Cromwell 
Elyse Nelson 
Elysia Smith
Emma Frost 
Emma Steed 
Empress Brood 
Eradica Smith
Ereshkigal Goddess 
Erica Fortune 
Erica von Kampf 
Erica Wolfmann 
Erika Benson 
Erin Cicero 
Lilith Moll 
Lillian von Loont 
Lily Cromwell 
Lily Hollister 
Linda Lewis
Lisabeth Borden 
Livilla Smith
Liza Pyne 
Llyra Morris 
Loca Inferno
Lois Smith
Lois London 
Lola Smith
Lorelei Asgardian
Lorelei Riciardi 
Lorena Haam 
Lorina Dodson 
Lottie Eikenski 
